number,title,image,year,location
1,Still Life with Cabbage and Clogs,Still_Life_with_Cabbage_and_Clogs.jpg,1881,"Van Gogh Museum, Amsterdam (F1)"
2,"Crouching Boy with Sickle, Black chalk and watercolor",Van_Gogh_-_Kauernder_Junge_mit_Sichel.jpeg,1881,"Kröller-Müller Museum, Otterlo, Netherlands (F851)"
3,"Old Man at the Fireside, Black chalk, reddish brown and grey wash, orange red chalk, opaque watercolor on laid paper",An_Old_Man_Putting_Dry_Rice_on_the_Hearth_1881_Vincent_van_Gogh.jpg, 1881 ,"Kröller-Müller Museum, Otterlo, Netherlands (F868)"
4,"Woman Sewing, Watercolor","Van_Gogh_1881-12,_Etten_-_Scheveningen_Woman_Sewing_F_869_JH_83.jpg",1881-82,"P. and N. de Boer Foundation, Amsterdam (F869)"
5,Woman with White Shawl,Woman_with_White_Shawl_in_a_Wood.jpg,1882,"Teheran, Collection A. Farmanformaian (F949) "
6,"Beach at Scheveningen in Calm Weather, oil on paper on wood",Van_Gogh_-_Strand_von_Schevenigen_bei_Windstille.jpeg,1882,Private collection (F2)
7,Dunes,Van_Gogh_-_Landschaft_mit_Dünen.jpeg,1882,Private collection (F2a)
8,Dunes with Figures,Dunes_with_Figures.jpg,1882, Private Collection (F3)
9,Beach at Scheveningen in Stormy Weather,Van_Gogh_-_Strand_von_Scheveningen_bei_stürmischen_Wetter.jpeg,1882,"Van Gogh Museum, Amsterdam (F4)"
10,Fisherman on the Beach,Fisherman_on_the_Beach.jpg,1882,"Kröller-Müller Museum, Otterlo (F5)"
11,Fisherman's Wife on the Beach,Fisherman's_Wife_on_the_Beach.jpg,1882,"Kröller-Müller Museum, Otterlo (F6)"
12,Women Mending Nets in the Dunes,Women_Mending_Nets_in_the_Dunes.jpg,1882,"Collection: François Odermatt, Montreal (F7)"
13,"Annotated by the artist in ink at lower left: ""At Eternity's gate"" lithograph,",Old_Man_with_his_Head_in_his_Hands_(At_Eternity's_Gate).jpg,1882, Tehran Museum of Contemporary Art (F1662)
14,Girl in White in the Woods,Girl_in_White_in_the_Woods.jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F8)"
15,Girl in the Woods,Girl_in_the_Woods.jpg,1882,Private collection (F8a)
16,Man Stooping with Stick or Spade,Man_Stooping_with_Stick_or_Spade.jpg,1882,"Kuboso Memorial Museum of Arts, Izumi, Japan (F12)"
17,"A Girl in the Street, Two Coaches in the Background","Girl_in_the_Street,_Two_Coaches_in_the_Background,_A.jpg",1882,Private collection (F13)
18,Edge of a Wood,Edge_of_a_Wood.jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F192)"
19,Cluster of Old Houses with the New Church in The Hague,Cluster_of_Old_Houses_with_the_New_Church_in_The_Hague.jpg,1882,Private collection (F204)
20,"The Iron Mill in The Hague, watercolor",Iron_Mill_in_The_Hague.jpg,1882,Private collection (F926) 
21,"Meadows near Rijswijk, watercolor",Meadows_near_Rijswijk.jpg,1882,Private collection (F927) 
22,"Sorrow, drawing",Vincent_van_Gogh_-_Sorrow.jpg,1882, Garman Ryan Collection (F929a) 
23,"Back Garden of Sien's Mother's House, the Hague, drawing","Sien's-Mother's-House,-Closer-View_F942_Vincent_van_Gogh.jpg",1882,"Norton Simon Museum, Pasadena, California (F942) "
24,"Rooftops, View from the Atelier, watercolor with white",Vincent_Willem_van_Gogh_016.jpg,1882,Private collection (F943)
25,"Bleaching Ground at Scheveningen also Bleaching Ground, watercolor",Vincent_van_Gogh_-_Bleaching_Ground_at_Scheveningen_-_Google_Art_Project.jpg,1882,"J. Paul Getty Museum, Los Angeles (F946r) "
26,"Pollard Willow, watercolor","Vincent_van_Gogh_-_Knotwilg,_1882_(Van_Gogh_Museum).jpg",1882,"Van Gogh Museum in Amsterdam, Netherlands.  (F947) "
27,"Portrait of a Man in a Top Hat also Orphan Man with Top Hat, drawing",Vincent_van_Gogh_-_Orphan_Man_with_Top_Hat_(F954).jpg,1882,"Worcester Art Museum, Worcester, Massachusetts (F954) "
28,"In Church also Church Pew with Worshippers, watercolor",Vincent_van_Gogh_-_Church_Pew_with_Worshippers_(F967).jpg,1882,"Kröller-Müller Museum, Otterlo, Netherlands (F967) "
29,The State Lottery also The Poor and Money,Vincent_van_Gogh_-_The_State_Lottery_Office_(F970).jpg,1882,"Van Gogh Museum, Amsterdam (F970)"
30,"Portrait of Jozef Blok also The Bookseller Blok, watercolor","Jozef_Blok,_by_Vincent_van_Gogh.jpg",1882,"Van Gogh Museum, Amsterdam (F993)"
31,"Sien Nursing Baby, watercolor and chalk",Sien_Nursing_Baby.jpg,1882,Private collection (F1068)
32,"The Potato Market, watercolor",Potato_Market.jpg,1882,Private collection (F1091) 
33,Two Women in the Woods,Two_women_in_a_wood_-_VINCENT_VAN_GOGH_(1853-1890)_12_1-4_x_9_7-16in._(31_x_24cm).jpg,1882,Private Collection (F1665)
34,Lying Cow,Van_Gogh_-_Liegende_Kuh2.jpeg,1883,Private collection (F1b)
35,Lying Cow,Van_Gogh_-_Liegende_Kuh.jpeg,1883,Location unknown (F1c)
36,Potato Digging (Five Figures),Potato_Digging_(Five_Figures).jpg,1883,Private collection (F9)
37,A Wind-Beaten Tree,"Wind-Beaten_Tree,_A.jpg",1883,Location unknown (stolen from private collection) (F10)
38,The Sower (study),Van_Gogh_-_Der_Sämann_(Studie).jpeg,1883,Location Unknown (F11)
39,Cows in the Meadow,Vincent_van_Gogh_-_Cows_in_the_Meadow_(1883).jpg,1883,Private collection (F15)
40,Landscape with Dunes,Landscape_with_Dunes.jpg,1883,Private collection (F15a)
41,Farmhouses in Loosduinen near The Hague at Twilight,Farmhouses_in_Loosduinen_near_The_Hague_at_Twilight.jpg,1883,"Centraal Museum, Utrecht, Netherlands (F16)"
42,Cottages,Van_Gogh_-_Bauernhäuser.jpeg,1883,"Van Gogh Museum, Amsterdam (F17)"
43,Farmhouse Among Trees,Farmhouses_Among_Trees.jpg,1883,"Museum Kolekcji Jana Pawla II, Warsaw, Poland (F18)"
44,Two Women in the Moor,WLANL_-_h3m3ls_-_Vincent_van_Gogh_Two_women_in_the_moor_1883.jpg,1883,"Van Gogh Museum, Amsterdam (F19)"
45,Peasant Burning Weeds,Peasant_Burning_Weeds.jpg,1883,Private collection (F20)
46,Peat Boat with Two Figures,Van_Gogh_-_Torfboot_mit_zwei_Figuren.jpeg,1883,"Drents Museum, Assen, Netherlands (F21)"
47,Farm with Stacks of Peat,Farm_with_Stacks_of_Peat.jpg,1883,"Van Gogh Museum, Amsterdam (F22)"
48,Bulb Fields also Flower Beds in Holland,Bulb_Fields.jpg,1883," National Gallery of Art, Washington D.C. (F186)"
49,Landscape with a Church at Twilight,Landscape_with_a_Church_at_Twilight.jpg,1883,Private collection (F188)
50,Footbridge across a Ditch,Footbridge_across_a_Ditch.jpg,1883,Private collection (F189)
51,"Woman on Her Deathbed, watercolor",Woman_on_her_Deathbed.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F841)"
52,"Woman with Wheelbarrow, watercolor",Scheveningen_Woman_with_Wheeelbarrow.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1021)"
53,"Saying Grace (van Gogh) also Woman Praying, drawing",Woman-praying-1883_van_Gogh.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1053)"
54,"Woman Seated also Woman with White Cloth around her Head, Sitting on a Bench, drawing",Woman-with-white-cloth-around-her-head-sitting-on-a-bench-1883.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1056)"
55,"Woman Feeding Chickens, drawing",Woman-feeding-chickens-1883.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1080)"
56,"Peatery in Drenthe also Peat Bog, watercolor","Van_Gogh_-_Paisaje_en_Drenthe,_1883.jpg",1883,Private collection (F1094)
57,"Drawbridge in Nieuw New Amsterdam, watercolor",Vincent_van_Gogh_Ophaalbrug_in_Nieuw-Amsterdam.jpg,1883,"Groninger Museum, Groningen, Netherlands (F1098)"
58,"Landscape with Wheelbarrow also Heath with a Wheelbarrow, watercolor",Van_Gogh_-_Heide_mit_Schubkarren.jpeg,1883,"Cleveland Museum of Art, Cleveland, Ohio (F1100)"
59,"A Wood Auction also Lumber Sale, watercolor",A_Wood_Auction.jpg,1883,"Kröller-Müller Museum, Otterlo, Netherlands (F1113)"
60,"Three Figures near a Canal with Windmill, drawing",Three_Figures_near_a_Canal_with_Windmill.jpg,1883,Location unknown (F1666)
61,"Landscape with Trees, Black chalk, ink and watercolour",Landscape_with_Trees_(1883)_van_Gogh.jpg,1883,"Private collection (No F number, JH Add. 21)"
62,Marshy Landscape,Marshy_Landscape.jpg,1883,"Private collection (No F number, JH 394)"
63,Weaver Near an Open Window,Van_Gogh_-_Weber_vor_offenem_Fenster_mit_Blick_auf_den_Turm_von_Nuenen.jpeg,1884,"Neue Pinakothek, Munich (F24)"
64,Congregation Leaving the Reformed Church in Nuenen,Van_Gogh_-_Die_Kirche_von_Nuenen_mit_Kirchgängern.jpeg,1884,"Van Gogh Museum, Amsterdam (F25)"
65,Weaver Facing Right (Half-Figure),Van_Gogh_-_Weber_am_Webstuhl_-_(Profil_nach_rechts)1.jpeg,1884,Private collection (F26)
66,"Weaver, Seen from the Front",Vincent_van_Gogh_0141.jpg,1884,"Museum Boijmans Van Beuningen, Rotterdam (F27)"
67,Weaver Facing Left with Spinning Wheel,Van_Gogh_-_Weber_am_Webstuhl_mit_Haspel.jpeg,1884,"Museum of Fine Arts, Boston (F29)"
68,Loom With Weaver,Van_Gogh_-_Weber_am_Webstuhl_(von_vorn).jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F30)"
69,Landscape with Pollard Willows (b/w copy of painting),Van_Gogh_-_Landschaft_mit_Weiden.jpeg,1884,Private collection (F31) 
70,Weaver Standing in Front of a Loom,"Van_Gogh_-_Weber_am_Webstuhl,_das_Gewebe_prüfend2.jpeg",1884,Private collection (F32)
71,Weaver Facing Right also Weaver Standing in Front of the Loom,"Van_Gogh_-_Weber_am_Webstuhl,_das_Gewebe_Prüfend1.jpeg",1884,Private collection (F33)
72,The Old Tower at Nuenen with a Ploughman,Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_plügenden_Bauern.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F34)"
73,Loom With Weaver also Weaver Arranging Threads,"Van_Gogh_-_Weber,_am_Webstuhl_stehend.jpeg",1884,"Kröller-Müller Museum, Otterlo, Netherlands (F35)"
74,"Loom With Weaver also Weaver, Interior with Three Small Windows",Van_Gogh_-_Weber_in_einem_Raum_mit_drei_schmalen_Fenstern.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F37)"
75,Cart with Red and White Ox,Van_Gogh_-_Karren_mit_rotbraunem_Ochsen.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F38)"
76,Cart with Black Ox,Van_Gogh_-_Karren_mit_schwarzem_Ochsen.jpeg,1884,"Portland Art Museum, Portland, Oregon (F39)"
77,The Old Tower in the Fields,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen2.jpeg,1884,Private collection (F40)
78,Farmers Planting Potatoes,Van_Gogh_-_Bauern_beim_Kartoffelsetzen.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F41)"
79,Shepherd with a Flock of Sheep (b/w copy of painting),Van_Gogh_-_Hirte_mit_Schafsherde_(Nach_dem_Gewitter).jpeg,1884,"Soumaya Museum, Tizapán, Mexico (F42) "
80,Wood Gatherers in the Snow,Van_Gogh_-_Holzsammler_im_Schnee.jpeg,1884,Private collection (F43)
81,Water Mill at Gennep,F46-Raderen-Genneper-watermolen.jpg,1884,"Noordbrabants Museum, 's-Hertogenbosch, Netherlands - on loan from the Netherlands Office for Fine Arts (F46)"
82,Water Mill at Gennep,Van_Gogh_-_Wassermühle_in_Gennep2.jpeg,1884,Private collection (F47)
83,Water Mill at Opwetten,Vincent_van_Gogh_-_Water_mill_at_Opwetten_(1884).jpg,1884,Private collection (F48)
84,Water Mill at Kollen Near Nuenen,Van_Gogh_-_Wassermühle_in_Kollen_bei_Nuenen.jpeg,1884,Private collection (F48a)
85,"Still Life with Four Stone Bottles, Flask and White Cup","Van_Gogh_-_Stillleben_mit_vier_Krügen,_Flasche_und_weißen_Napf.jpeg",1884,"Kröller-Müller Museum, Otterlo (F50)"
86,"Still Life with Coffee Mill, Pipe Case and Jug also Still Life with a Bearded-Man Jar","Van_Gogh_-_Stillleben_mit_Bartmannkrug,_Kaffeemühle_und_Pfeifenetui.jpeg",1884,"Kröller-Müller Museum, Otterlo (F52)"
87,Still Life with Clogs and Pots,Van_Gogh_-_Stillleben_mit_Steingut_und_Holzschuhen.jpeg,1884,"Centraal Museum, Utrecht, Netherlands (on loan) (F54)"
88,Still Life with Two Sacks and a Bottle (b/w copy),Van_Gogh_-_Stillleben_mit_zwei_Tüten_und_Flasche.jpeg,1884,Private collection (F55)
89,Still Life with Five Bottles,Van_Gogh_-_Stillleben_mit_Flaschen.jpeg,1884,"Österreichische Galerie Belvedere, Vienna (F56)"
90,Still Life with Pottery and Two Bottles,Van_Gogh_-_Stillleben_mit_Steingut_und_Flaschen.jpeg,1884,"Norton Simon Museum, Pasadena, California (F57)"
91,"Still Life with Pottery, Beer Glass and a Bottle","Van_Gogh_-_Stillleben_mit_Steingut,_Bierglas_und_Flasche.jpeg",1884,Private Collection (F58)
92,Still Life with Paintbrushes in a Pot,Van_Gogh_-_Stillleben_mit_Pinseln_in_einem_Blumentopf.jpeg,1884,Private collection (F60)
93,Still Life with Bottles and Earthenware,Stilleven_met_flessen_en_aardewerk_-_s0060V1962r_-_Van_Gogh_Museum.jpg,1884–85,"Van Gogh Museum, Amsterdam (F61r)"
94,Still Life with Bottles and a Cowrie Shell,"Van_Gogh_-_Stillleben_mit_Flaschen,_Vase_und_Muschel.jpeg",1884,Private collection (F64)
95,Head of an Old Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_alten_Bäuerin_mit_weißer_Haube.jpeg,1884,"Von der Heydt Museum, Wuppertal, Germany (F75)"
96,Vase with Honesty,Van_Gogh_-_Vase_mit_Mondviolen.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F76)"
97,Old Church Tower at Nuenen,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen.jpeg,1884,"Foundation E.G. Bührle Collection, Zürich (F88)"
98,Lane in Autumn,Lane-in-autumn-1884.jpg,1884,Private collection (F120)
99,Avenue of Poplars in Autumn,Van_Gogh_-_Pappelallee_im_Herbst.jpeg,1884,"Van Gogh Museum, Amsterdam (F122)"
100,Avenue of Poplars at Sunset,Van_Gogh_-Pappelallee_bei_Sonnenuntergang.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F123)"
101,Water Mill at Gennep (b/w copy),Van_Gogh_-_Wassermühle_in_Gennep.jpeg,1884,"Museo Thyssen-Bornemisza, Madrid, Spain (F125)"
102,Head of a Peasant Woman,Van_Gogh_-_Kopf_einer_Bäuerin.jpeg,1884,Private collection (F132)
103,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube1.jpeg,1884,Private collection (F136a)
104,"Peasant Woman, Half Figure, Seated with White Cap","Van_Gogh_-_Bäuerin,_sitzend,_mit_weißer_Haube.jpeg",1884,"Morohashi Museum of Modern Art: Kita-Shiobara-Mura (Fukushima), Japan (F143)"
105,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube3.jpeg,1884,"Galerie Nathan, Zurich (F144)"
106,Head of an Old Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_alten_Bäuerin_mit_weißer_Haube2.jpeg,1884,Private collection (F146)
107,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube.jpeg,1884,"Saint Louis Art Museum, St Louis, Missouri (F146a)"
108,Head of a Peasant with Cap (b/w copy),Van_Gogh_-_Kopf_eines_Bauern_mit_Mütze.jpeg,1884,"Art Gallery of New South Wales, Sydney, Australia (F160a)"
109,Weaver Facing Right (Half-Figure),Van_Gogh_-_Weber_am_Webstuhl_-_(Profil_nach_rechts)3.jpeg,1884,Private collection (F162)
110,Potato Planting,Van_Gogh_-_Kartoffelsetzen.jpg,1884,"Von der Heydt Museum, Wuppertal, Germany (F172)"
111,Two Rats,Van_Gogh_-_Zwei_Ratten.jpeg,1884,Private collection (F177)
112,"Still Life with Pots, Jar and Bottles","Van_Gogh_-_Stilleben_mit_Steingut,_Bierglas_und_Flaschen.jpeg",1884,"Gemeentemuseum Den Haag, The Hague (F178r)"
113,The Old Tower of Nuenen with People Walking,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen_mit_drei_Figuren.jpeg,1884,Private collection (F184)
114,"Parsonage Garden at Nuenen, The",Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_mit_weiblicher_Figur.jpeg,1884,"Groninger Museum, Groningen, Netherlands (F185)"
115,Village at Sunset also Farmer Town in the Evening,Van_Gogh_-_Dorf_bei_Sonnenuntergang.jpeg,1884,Rijksmuseum Amsterdam (F190)
116,Vase with Dead Leaves,Van_Gogh_-_Vase_mit_verwelkten_Blätter.jpeg,1884,Private collection (F200)
117,"Loom With Weaver also Weaver at the Loom, drawing",Van_Gogh_-_Weber_am_Webstuhl_-_(Profil_nach_rechts)2.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F1122)"
118,"Weaver Standing in front of the Loom, drawing",Van_Gogh_-_Weber_am_Webstuhl.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F1134)"
119,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube2.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F156)"
120,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube3.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F159)"
121,Head of a Man,Van_Gogh_-_Kopf_eines_jungen_Bauern_mit_Pfeife.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F164)"
122,Woman Winding Yarn,Van_Gogh_-_Frau_am_Spinnrad.jpeg,1885,"Van Gogh Museum, Amsterdam (F36)"
123,Autumn Landscape with Four Trees,Autumn_landscape.jpg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F44)"
124,Lane with Poplars,Van_Gogh_-_Pappelallee_bei_Nuenen.jpeg,1885,"Museum Boijmans Van Beuningen, Rotterdam (F45)"
125,Beer Tankards,Van_Gogh_-_Stillleben_mit_drei_Bierkrügen.jpeg,1885,"Van Gogh Museum, Amsterdam (F49)"
126,Still Life with Brass Cauldron and Jug,"Van_Gogh_-_Stillleben_mit_Kupferkessel,_Krug_und_Kartoffeln.jpeg",1885,"Van Gogh Museum, Amsterdam (F51)"
127,Still Life with Earthenware and Bottles,Van_Gogh_-_Stillleben_mit_drei_Flaschen_und_Steingut.jpeg,1885,"Van Gogh Museum, Amsterdam (F53)"
128,Still Life with Two Jars and Two Pumpkins,Van_Gogh_-_Stillleben_mit_zwei_Krügen_und_Kürbissen.jpeg,1885,Private collection (F59)
129,Still Life with Straw Hat also Still Life with Yellow Straw Hat,Vincent_Willem_van_Gogh_129.jpg,1885,"Kröller-Müller Museum, Otterlo (F62)"
130,"Still Life with Earthenware, Bottle and Clogs","Van_Gogh_-_Stillleben_mit_Tontopf,_Flasche_und_Holzschuhen.jpeg",1885,"Kröller-Müller Museum, Otterlo, Netherlands (F63)"
131,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube1.jpeg,1885,Location unknown (F65)
132,Two Hands,Van_Gogh_-_Zwei_Hände.jpeg,1885,Private collection (F66)
133,The Parsonage Garden at Nuenen in the Snow,Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_im_Schnee.jpeg,1885,"Hammer Museum, Los Angeles (F67)"
134,"Old Station at Eindhoven, The",Van_Gogh_-_Der_alte_Bahnhof_in_Eindhoven.jpeg,1885,Private Collection (F67a)
135,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäurin_mit_dunkler_Haube20.jpeg,1885,"Van Gogh Museum, Amsterdam (F69)"
136,"Peasant Woman, Seen against the Window",Van_Gogh_-_Kopf_einer_Bäuerin_vor_dem_Fenster.jpeg,1885,"Private collection, Tokyo (F70)"
137,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_vor_dem_Fenster2.jpeg,1885,"Van Gogh Museum, Amsterdam (F70a)"
138,Woman Sewing,"Van_Gogh_-_Bäuerin,_nähend,_vor_einem_Fenster.jpeg",1885,"Van Gogh Museum, Amsterdam (F71)"
139,Peasant Woman Taking her Meal,Van_Gogh_-_Bäuerin_bei_der_Mahlzeit.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F72)"
140,"Peasant Woman Seated before an Open Door, Peeling Potatoes (b/w copy of painting)","Van_Gogh_-_Bäuerin_vor_einer_Tür,_kartoffelschälend.jpeg",1885,Private collection (F73)
141,Head of a Woman with Greenish Lace Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_grünlicher_Haube.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F74)"
142,Study for The Potato Eaters,Van_Gogh_-_Vier_Bauern_beim_Essen_(Erste_Studie_zu_den_-Karoffelessern-).jpeg,1885,Private collection (F77r)
143,Study for The Potato Eaters,Van_Gogh_-_Die_Kartoffelesser2.jpeg,1885,"Kröller-Müller Museum, Otterlo (F78)"
144,Landscape at Sunset,Van_Gogh_-_Landschaft_bei_Sonnenuntergang.jpeg,1885,Private collection (F79)
145,Head of a Peasant Woman with a White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube11.jpeg,1885,"Foundation E.G. Bührle, Zurich (F80)"
146,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube10.jpeg,1885,"Van Gogh Museum, Amsterdam (F80a)"
147,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube26.jpeg,1885,"Kunstmuseum Bern, Switzerland (F81)"
148,The Potato Eaters,Van-willem-vincent-gogh-die-kartoffelesser-03850.jpg,1885,"Van Gogh Museum, Amsterdam (F82)"
149,Cottage,Van_Gogh_-_Strohhütte_bei_Einbruch_der_Dämmerung.jpeg,1885,"Van Gogh Museum, Amsterdam (F83)"
150,Old Church Tower at Nuenen,VanGogh_F84.jpg,1885,"Van Gogh Museum, Amsterdam (F84)"
151,Head of a Woman Wearing a White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube12.jpeg,1884–85,"Kröller-Müller Museum, Otterlo, Netherlands (F85)"
152,Head of a Peasant Woman in a White Bonnet,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube27.jpeg,1885,"Norton Simon Museum, Pasadena, California (F85a)"
153,Head of a Peasant Woman,Van_Gogh_-_Kopf_einer_Bäuerin3.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F86)"
154,The Old Cemetery Tower at Nuenen in the Snow,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen_im_Schnee.jpeg,1885,"Tate, London (F87)"
155,Cottage with Peasant Woman Digging,Van_Gogh_-_Bauernhaus_mit_umgrabender_Bäuerin1.jpeg,1885,Private collection (F89)
156,Cottage and Woman with Goat,Van_Gogh_-_Bauernhaus_und_Frau_mit_Ziege.jpeg,1885,"Städel, Frankfurt, Germany (F90)"
157,Cottage with Trees also Cottage,Van_Gogh_-_Bauernhaus.jpeg,June 1885,Private collection (F91) 
158,Cottage with Trees,Van_Gogh_-_Bauernhaus_mit_Bäumen1.jpeg,1885,Private collection (F92)
159,Cottage with Trees,Van_Gogh_-_Bauernhaus_mit_Bäumen2.jpeg,1885,Private collection (F92a)
160,Cottage with Trees,Van_Gogh_-_Bauernhaus_mit_Bäumen.jpeg,1885,"Wallraf-Richartz Museum, Cologne (F93)"
161,Peasant Woman Digging,Van_Gog_-_Bäuerin_beim_Umgraben1.jpeg,1885," 's-Hertogenbosch, North Brabant (F94)"
162,"Peasant Woman Digging also Woman with a Spade, Seen from Behind",Vincent_van_Gogh_-_Bäuerin_beim_Umgraben.jpg,1885,"Art Gallery of Ontario, Toronto (F95)"
163,Peasant Woman Digging,Vincent_van_Gogh_-_Bäuerin_beim_Umgraben2.jpg,1885,"Barber Institute of Fine Arts, Birmingham (F95a)"
164,Two Peasant Women Digging (b/w copy of painting),Van_Gogh_-_Zwei_Bäuerin_bei_Umgraben.jpeg,1885,Private collection (F96)
165,Two Peasant Women Digging Potatoes,Van_Gogh_-_Zwei_Bäuerinnen_beim_Kartoffelgraben.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F97 - also F129)"
166,Peasant Woman Digging Up Potatoes,Vincent_van_Gogh_-_Boerin_aardappelen_opgravend.JPG,1885,"Royal Museum of Fine Arts, Antwerp, Belgium (F98)"
167,Basket of Apples,Van_Gogh_-_Stillleben_mit_Apfelkorb2.jpeg,1885,"Van Gogh Museum, Amsterdam (F99)"
168,Baskets of Potatoes,Van_Gogh_-_Stillleben_mit_Karoffelkorb.jpeg,1885,"Van Gogh Museum, Amsterdam (F100)"
169,Basket of Apples,Van_Gogh_-_Stillleben_mit_Apfelkorb1.jpeg,1885,"Van Gogh Museum, Amsterdam (F101)"
170,"Still Life with a Basket of Potatoes, Surrounded by Autumn Leaves and Vegetables","Van_Gogh_-_Stillleben_mit_Kohlköpfen,_Kartoffelkorb_und_Blättern.jpeg",1885,Private collection (F102)
171,Still Life with Vegetables and Fruit,Van_Gogh_-_Stillleben_mit_Gemüse_und_Früchten.jpeg,1885,"Van Gogh Museum, Amsterdam (F103)"
172,Still Life with Ginger Jar and Apples (b/w copy of painting),Van_Gogh_-_Stillleben_mit_Ingwertopf_und_Äpfeln.jpeg,1885,Private collection (F104)
173,Still Life with Ginger Jar and Onions,Van_Gogh_-_Stillleben_mit_Ingwertopf_und_Zwiebeln.jpeg,1885,"The McMaster Art Gallery, Hamilton, Ontario (F104a)"
174,Still Life with an Earthen Bowl and Pears,Van_Gogh_-_Stillleben_mit_Birnen_in_einer_Schale.jpeg,1885,"Centraal Museum, Utrecht, Netherlands (F105)"
175,Still Life with a Basket of Apples and Two Pumpkins,Van_Gogh_-_Stillleben_mit_Apfelkorb_und_zwei_Kürbissen.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F106)"
176,Basket of Potatoes,Van_Gogh_-_Stillleben_mit_zwei_Kartoffelkörben.jpeg,1885,"Van Gogh Museum, Amsterdam (F107)"
177,Still Life with Three Birds' Nests,Van_Gogh_-_Stillleben_mit_drei_Vogelnestern2.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F108)"
178,Still Life with Birds' Nests,Van_Gogh_-_Stillleben_mit_zwei_Vogelnestern.jpeg,1885,"Van Gogh Museum, Amsterdam (F109r)"
179,Still Life with Three Birds' Nests,Van_Gogh_-_Stillleben_mit_drei_Vogelnestern.jpeg,1885,"Gemeentemuseum Den Haag, Netherlands (on loan) (F110)"
180,Still Life with Birds' Nests,Van_Gogh_-_Stillleben_mit_fünf_Vogelnestern.jpeg,1885,"Van Gogh Museum, Amsterdam (F111)"
181,Still Life with Three Birds' Nests,Van_Gogh_-_Stillleben_mit_drei_Vogelnestern3.jpeg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F112)"
182,View of Amsterdam from Central Station,Van_Gogh_-_Blick_auf_Amsterdam_vom_Hauptbahnhof.jpeg,1885,"Private collection, Amsterdam (F113)"
