ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location
2523,Burate,burate,burate,Indonesia,IDN,bti,Severely endangered,,,100,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-2.7811,135.9915,Irian Jaya
2539,Karas,karas,karas,Indonesia,IDN,kgv,Severely endangered,,,100,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-3.4585,132.6599,Irian Jaya
2683,Likum,likum,likum,Papua New Guinea,PNG,lib,Definitely endangered,,,100,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-2.1651,146.6921,Western part of Manus Island
2135,Oroha,oroha,oroha,Solomon Islands,SLB,ora,Severely endangered,Oraha,,100,Tryon & Hackman 1983,-9.7686,161.51,Malaita
1199,Shompen,shompen,shom peng,India,IND,sil,Critically endangered,Shom Peng,,100,Prof. Udaya Narayana Singh (personal communication),7.0245,93.8232,living inside forests on Great Nicobar Island
2116,Mindiri,mindiri,mindiri,Papua New Guinea,PNG,mpn,Severely endangered,,,93,Grimes 2000,-5.5517,146.1538,Madang
2650,Repanbitip,repanbitip,repanbitip,Vanuatu,VUT,rpn,Definitely endangered,,,90,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-16.3155,167.6026,Southeast Malekula Island
2100,Dorro,dorro,dorro,Papua New Guinea,PNG,mxw,Severely endangered,Namo,,80,Grimes 2000,-9.1834,141.8994,Western Province
2145,Mores,mores,morés,Vanuatu,VUT,rga,Severely endangered,,,75,Lynch & Crowley 2001,-15.3583,166.8988,Santo
2101,Arawun,arawum,arawum,Papua New Guinea,PNG,awm,Severely endangered,,,73,Grimes 2000,-5.5093,145.8929,Madang Province
2518,Awera,awera,awera,Indonesia,IDN,awr,Vulnerable,,,70,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-2.7084,136.0395,Irian Jaya
156,East Cape Yupik,yupik du Cap Est,yupí naukán,Russian Federation,RUS,ynk,Critically endangered,Naukan Yupik,,70,"Nikolai Vakhtin: Siberian Yupik and other languages of Chukotka. — Bicultural education in the North: Ways of preserving and enhancing. indigenous peoples’ languages and traditional knowledge. Edited by Erich Kasten. Münster: Waxmann, 1998. http://www.siberian-studies.org/publications/PDF/bevakhtin.pdf | Г. А. Меновщиков: Азиатских эскимосов язык. — Языки мира: Палеоазиатские языки. Москва: Индрик, 1997. 75–81.",66.0166,-169.7166,"translocated in several settlements in Chukchi Autonomous District, including Uelen, Lorino, Lavrentiya, Provideniya"
2645,Mafea,mafea,mafea,Vanuatu,VUT,mkv,Definitely endangered,Mavea,,70,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-15.4219,167.2366,"Mafea and Ais Islands, East Santo Island"
1571,Northern Straits Salish,salish straits du nord,straits salish septentrional,United States of America,USA,sal,Critically endangered,"It has three well-known dialects, Saanich, Samish, and  Lummi. Straits Salish is a group of two languages which includes Northern Straits Salish and Klallam.",,65,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44.  London: Routledge.",48.488,-122.6363,"The Saanich dialect has about 20 first-language speakers, the youngest around 60, with about 100 second-language speakers; the Samish dialect has about 5  speakers; the Lummi dialect has no first-language speakers.  "
