index,rank,word
7935,3,power
8098,3,power
8452,3,power
8600,3,power
9293,3,power
9661,3,power
9740,3,power
9779,3,power
9850,3,power
9875,3,power
9983,3,power
10049,3,power
10098,3,power
10225,3,power
10233,3,power
10243,3,power
10256,3,power
10341,3,power
10478,3,power
10540,3,power
10563,3,power
10642,3,power
10659,3,power
10727,3,power
10791,3,power
10807,3,power
10827,3,power
10870,3,power
10892,3,power
10906,3,power
11110,3,power
11315,3,power
11337,3,power
11385,3,power
11510,3,power
11928,3,power
11994,3,power
12031,3,power
12094,3,power
12273,3,power
12284,3,power
12425,3,power
12506,3,power
12510,3,power
12517,3,power
12544,3,power
12557,3,power
12787,3,power
12796,3,power
17264,3,power
18124,3,power
19533,3,power
20708,3,power
21828,3,power
23952,3,power
23986,3,power
24123,3,power
25637,3,power
25654,3,power
25666,3,power
26092,3,power
26104,3,power
26373,3,power
26440,3,power
26460,3,power
26484,3,power
26504,3,power
26802,3,power
27590,3,power
27607,3,power
28744,3,power
28798,3,power
28836,3,power
29050,3,power
29220,3,power
29682,3,power
29720,3,power
29725,3,power
29746,3,power
29760,3,power
29785,3,power
29797,3,power
29829,3,power
29889,3,power
29905,3,power
29917,3,power
29977,3,power
29987,3,power
30007,3,power
30023,3,power
31184,3,power
31840,3,power
31846,3,power
31880,3,power
31891,3,power
32053,3,power
32226,3,power
32511,3,power
32563,3,power
32573,3,power
32587,3,power
32666,3,power
32700,3,power
33021,3,power
33057,3,power
33071,3,power
33423,3,power
33451,3,power
33560,3,power
34470,3,power
34649,3,power
34670,3,power
753,4,would
1380,4,would
2440,4,would
2452,4,would
2483,4,would
2559,4,would
4006,4,would
4610,4,would
4812,4,would
4887,4,would
4940,4,would
5319,4,would
6386,4,would
6654,4,would
7282,4,would
10264,4,would
11482,4,would
11780,4,would
11789,4,would
12943,4,would
12960,4,would
13002,4,would
13184,4,would
13521,4,would
13803,4,would
13818,4,would
14191,4,would
14586,4,would
14595,4,would
14605,4,would
14773,4,would
14837,4,would
14857,4,would
14875,4,would
14896,4,would
14914,4,would
14931,4,would
14937,4,would
14942,4,would
14953,4,would
14975,4,would
15048,4,would
15106,4,would
15109,4,would
15140,4,would
15271,4,would
15296,4,would
15871,4,would
16325,4,would
16519,4,would
16829,4,would
17038,4,would
17066,4,would
17080,4,would
17094,4,would
17118,4,would
17142,4,would
17174,4,would
17207,4,would
17211,4,would
17267,4,would
18035,4,would
18319,4,would
18440,4,would
18488,4,would
18818,4,would
18834,4,would
18846,4,would
18941,4,would
18973,4,would
18983,4,would
19002,4,would
19014,4,would
19413,4,would
20157,4,would
20247,4,would
20790,4,would
22058,4,would
22266,4,would
22405,4,would
22415,4,would
22934,4,would
22988,4,would
23152,4,would
23174,4,would
23292,4,would
23802,4,would
23815,4,would
24241,4,would
24257,4,would
24664,4,would
24828,4,would
25393,4,would
25403,4,would
25611,4,would
25628,4,would
25651,4,would
25663,4,would
25694,4,would
25824,4,would
26591,4,would
26647,4,would
26657,4,would
27064,4,would
27217,4,would
28197,4,would
28600,4,would
29117,4,would
29137,4,would
29142,4,would
29169,4,would
29185,4,would
29193,4,would
29202,4,would
29550,4,would
29912,4,would
30058,4,would
30188,4,would
30195,4,would
30208,4,would
30220,4,would
30249,4,would
30270,4,would
30313,4,would
31147,4,would
31173,4,would
31188,4,would
31219,4,would
31229,4,would
31274,4,would
31301,4,would
31324,4,would
31401,4,would
32273,4,would
32429,4,would
32979,4,would
33597,4,would
33606,4,would
33619,4,would
33881,4,would
20,5,human
54,5,human
100,5,human
192,5,human
2042,5,human
3141,5,human
4505,5,human
5943,5,human
6075,5,human
6092,5,human
6431,5,human
7451,5,human
7552,5,human
8484,5,human
8745,5,human
11869,5,human
12313,5,human
12377,5,human
14038,5,human
14044,5,human
14079,5,human
14137,5,human
15248,5,human
15436,5,human
15480,5,human
15532,5,human
15589,5,human
15996,5,human
16003,5,human
16068,5,human
16109,5,human
16317,5,human
16947,5,human
17028,5,human
17106,5,human
17220,5,human
18185,5,human
18949,5,human
19146,5,human
19729,5,human
19882,5,human
19925,5,human
20403,5,human
20454,5,human
20468,5,human
20505,5,human
20595,5,human
20636,5,human
20842,5,human
21483,5,human
21507,5,human
21525,5,human
21566,5,human
21572,5,human
21643,5,human
21671,5,human
21774,5,human
21841,5,human
21853,5,human
21865,5,human
21897,5,human
21925,5,human
21930,5,human
21954,5,human
21973,5,human
21989,5,human
22183,5,human
22690,5,human
22958,5,human
23029,5,human
23041,5,human
23122,5,human
23140,5,human
23160,5,human
23201,5,human
23217,5,human
23272,5,human
23287,5,human
23400,5,human
23456,5,human
23569,5,human
23583,5,human
23674,5,human
23690,5,human
23772,5,human
23833,5,human
23931,5,human
24016,5,human
24157,5,human
24255,5,human
24326,5,human
25246,5,human
25409,5,human
25497,5,human
25522,5,human
25548,5,human
25553,5,human
25609,5,human
25626,5,human
25649,5,human
25675,5,human
25778,5,human
25839,5,human
25916,5,human
26012,5,human
26112,5,human
26162,5,human
26191,5,human
26553,5,human
26586,5,human
26635,5,human
26923,5,human
26992,5,human
27014,5,human
27507,5,human
27512,5,human
27523,5,human
27537,5,human
27685,5,human
27696,5,human
27719,5,human
27850,5,human
29702,5,human
30442,5,human
31730,5,human
31757,5,human
31773,5,human
665,6,one
1844,6,one
1917,6,one
2413,6,one
2725,6,one
3145,6,one
3870,6,one
4393,6,one
4973,6,one
4997,6,one
5056,6,one
5064,6,one
5383,6,one
5812,6,one
6144,6,one
7368,6,one
7502,6,one
8495,6,one
8505,6,one
8930,6,one
9188,6,one
9196,6,one
9207,6,one
9231,6,one
9242,6,one
9253,6,one
9715,6,one
11223,6,one
11504,6,one
12019,6,one
12479,6,one
12498,6,one
12523,6,one
12546,6,one
12677,6,one
13349,6,one
13352,6,one
13953,6,one
14273,6,one
14646,6,one
14723,6,one
14731,6,one
14735,6,one
14745,6,one
15790,6,one
15946,6,one
16235,6,one
16281,6,one
16401,6,one
16413,6,one
16713,6,one
17213,6,one
17405,6,one
17417,6,one
17430,6,one
17435,6,one
17456,6,one
17501,6,one
17621,6,one
17633,6,one
17703,6,one
17709,6,one
17712,6,one
17717,6,one
18011,6,one
18241,6,one
18342,6,one
19287,6,one
19353,6,one
19584,6,one
19615,6,one
20126,6,one
20181,6,one
20423,6,one
20834,6,one
22113,6,one
22830,6,one
23129,6,one
23440,6,one
23620,6,one
23896,6,one
24727,6,one
24963,6,one
25270,6,one
26327,6,one
26518,6,one
26612,6,one
27271,6,one
27463,6,one
27974,6,one
28534,6,one
28543,6,one
28702,6,one
28748,6,one
28887,6,one
29516,6,one
29533,6,one
29656,6,one
30002,6,one
30142,6,one
30152,6,one
30423,6,one
30485,6,one
30565,6,one
30818,6,one
31171,6,one
31498,6,one
31674,6,one
31807,6,one
32767,6,one
33074,6,one
34556,6,one
34616,6,one
90,7,technology
6279,7,technology
6302,7,technology
6505,7,technology
11538,7,technology
12270,7,technology
14812,7,technology
14836,7,technology
15036,7,technology
15052,7,technology
15145,7,technology
15943,7,technology
16043,7,technology
16641,7,technology
16651,7,technology
16701,7,technology
16729,7,technology
17361,7,technology
17366,7,technology
17516,7,technology
17526,7,technology
17926,7,technology
17955,7,technology
18218,7,technology
18299,7,technology
18360,7,technology
18842,7,technology
18895,7,technology
18972,7,technology
19096,7,technology
19224,7,technology
19429,7,technology
19764,7,technology
20004,7,technology
20184,7,technology
20246,7,technology
20630,7,technology
21533,7,technology
22643,7,technology
22658,7,technology
22681,7,technology
22688,7,technology
23020,7,technology
23394,7,technology
23811,7,technology
24379,7,technology
24541,7,technology
24596,7,technology
24998,7,technology
25319,7,technology
26988,7,technology
27192,7,technology
27210,7,technology
27578,7,technology
27599,7,technology
27641,7,technology
27886,7,technology
27929,7,technology
28233,7,technology
28732,7,technology
28741,7,technology
28769,7,technology
28910,7,technology
29030,7,technology
29259,7,technology
29334,7,technology
29371,7,technology
29392,7,technology
29831,7,technology
30085,7,technology
30093,7,technology
30123,7,technology
30140,7,technology
30149,7,technology
30160,7,technology
30232,7,technology
30256,7,technology
30328,7,technology
30349,7,technology
30445,7,technology
30804,7,technology
30891,7,technology
30919,7,technology
30926,7,technology
30929,7,technology
30932,7,technology
30934,7,technology
