index,rank,word
171029,5,human
171179,5,human
171258,5,human
1640,6,one
2961,6,one
3675,6,one
3702,6,one
5407,6,one
6207,6,one
9119,6,one
9157,6,one
9575,6,one
9727,6,one
9922,6,one
10364,6,one
11805,6,one
12723,6,one
12931,6,one
13947,6,one
14624,6,one
14723,6,one
14744,6,one
15492,6,one
15940,6,one
16840,6,one
18895,6,one
20717,6,one
20748,6,one
22510,6,one
22712,6,one
23491,6,one
23514,6,one
26613,6,one
26739,6,one
27026,6,one
27063,6,one
27452,6,one
28284,6,one
28699,6,one
28774,6,one
28786,6,one
31102,6,one
32942,6,one
36333,6,one
38258,6,one
38557,6,one
38824,6,one
39051,6,one
39568,6,one
40249,6,one
40862,6,one
42077,6,one
43559,6,one
43739,6,one
44912,6,one
45439,6,one
45495,6,one
47676,6,one
48951,6,one
48977,6,one
49020,6,one
49134,6,one
49177,6,one
49231,6,one
49871,6,one
51121,6,one
51640,6,one
52206,6,one
52619,6,one
53068,6,one
53550,6,one
53989,6,one
55217,6,one
55588,6,one
55772,6,one
56974,6,one
59530,6,one
59698,6,one
61217,6,one
64083,6,one
64825,6,one
65177,6,one
66318,6,one
66484,6,one
66578,6,one
66709,6,one
66757,6,one
66815,6,one
67512,6,one
68432,6,one
68454,6,one
68834,6,one
70998,6,one
71010,6,one
71037,6,one
72177,6,one
72200,6,one
72298,6,one
72732,6,one
74193,6,one
75883,6,one
77986,6,one
78405,6,one
78455,6,one
78486,6,one
78535,6,one
79203,6,one
84069,6,one
84359,6,one
85250,6,one
86179,6,one
86596,6,one
86740,6,one
86971,6,one
87089,6,one
87585,6,one
87652,6,one
87914,6,one
88877,6,one
89267,6,one
90094,6,one
91999,6,one
93080,6,one
93138,6,one
93188,6,one
93214,6,one
93287,6,one
93509,6,one
94166,6,one
94214,6,one
94226,6,one
94592,6,one
94617,6,one
94630,6,one
94645,6,one
96280,6,one
96475,6,one
97523,6,one
98026,6,one
101717,6,one
101783,6,one
103483,6,one
103779,6,one
104053,6,one
105050,6,one
105205,6,one
108039,6,one
108346,6,one
109782,6,one
111943,6,one
114814,6,one
115674,6,one
115843,6,one
116212,6,one
118639,6,one
118891,6,one
122582,6,one
122997,6,one
123063,6,one
124227,6,one
124809,6,one
125916,6,one
126921,6,one
128473,6,one
133022,6,one
134261,6,one
134305,6,one
135184,6,one
135877,6,one
136234,6,one
137143,6,one
138434,6,one
139804,6,one
139922,6,one
139978,6,one
141421,6,one
142424,6,one
142920,6,one
143549,6,one
146440,6,one
146963,6,one
147426,6,one
149092,6,one
150203,6,one
152167,6,one
153146,6,one
153279,6,one
153329,6,one
154212,6,one
154471,6,one
155303,6,one
158768,6,one
158884,6,one
159586,6,one
161466,6,one
162233,6,one
162243,6,one
162292,6,one
163734,6,one
164058,6,one
164488,6,one
165385,6,one
165876,6,one
168041,6,one
168435,6,one
169251,6,one
169739,6,one
170719,6,one
171437,6,one
172995,6,one
173134,6,one
173295,6,one
173443,6,one
174690,6,one
175783,6,one
176423,6,one
176581,6,one
177167,6,one
178148,6,one
178240,6,one
183345,6,one
184111,6,one
186121,6,one
186427,6,one
186468,6,one
186753,6,one
528,7,technology
33745,7,technology
33858,7,technology
34967,7,technology
61414,7,technology
65347,7,technology
78916,7,technology
79059,7,technology
80178,7,technology
80279,7,technology
80791,7,technology
85228,7,technology
85755,7,technology
88896,7,technology
88956,7,technology
89200,7,technology
89320,7,technology
92289,7,technology
92832,7,technology
92864,7,technology
93581,7,technology
93630,7,technology
95787,7,technology
95940,7,technology
97393,7,technology
97826,7,technology
98136,7,technology
100940,7,technology
101235,7,technology
101682,7,technology
102409,7,technology
103170,7,technology
104160,7,technology
106001,7,technology
107328,7,technology
108361,7,technology
108770,7,technology
110840,7,technology
115748,7,technology
121537,7,technology
121628,7,technology
121766,7,technology
121803,7,technology
123600,7,technology
125687,7,technology
127954,7,technology
128627,7,technology
131147,7,technology
132042,7,technology
132353,7,technology
134449,7,technology
136134,7,technology
144856,7,technology
145963,7,technology
146082,7,technology
148035,7,technology
148141,7,technology
148393,7,technology
149713,7,technology
149941,7,technology
151636,7,technology
154390,7,technology
154437,7,technology
154604,7,technology
155443,7,technology
156110,7,technology
157401,7,technology
157812,7,technology
157988,7,technology
158101,7,technology
160531,7,technology
161940,7,technology
161980,7,technology
162137,7,technology
162221,7,technology
162274,7,technology
162338,7,technology
162745,7,technology
162905,7,technology
163290,7,technology
163409,7,technology
163834,7,technology
165805,7,technology
166287,7,technology
166451,7,technology
166494,7,technology
166532,7,technology
166556,7,technology
166570,7,technology
166676,7,technology
166690,7,technology
166816,7,technology
166855,7,technology
167007,7,technology
167212,7,technology
167522,7,technology
167642,7,technology
167669,7,technology
167697,7,technology
167776,7,technology
168580,7,technology
168663,7,technology
168689,7,technology
169201,7,technology
170864,7,technology
171078,7,technology
171316,7,technology
171777,7,technology
171797,7,technology
172060,7,technology
172174,7,technology
173398,7,technology
178891,7,technology
179056,7,technology
179129,7,technology
764,8,may
875,8,may
893,8,may
1750,8,may
1757,8,may
1790,8,may
1810,8,may
7969,8,may
12277,8,may
12444,8,may
14365,8,may
20397,8,may
22682,8,may
23067,8,may
27817,8,may
27916,8,may
29512,8,may
38939,8,may
40960,8,may
42404,8,may
42921,8,may
45754,8,may
46164,8,may
46490,8,may
47438,8,may
48807,8,may
48955,8,may
48981,8,may
49119,8,may
54361,8,may
54802,8,may
54972,8,may
56078,8,may
56142,8,may
56200,8,may
64870,8,may
64965,8,may
66568,8,may
66887,8,may
71394,8,may
78266,8,may
82095,8,may
85356,8,may
85689,8,may
90220,8,may
106315,8,may
106749,8,may
108598,8,may
109289,8,may
110808,8,may
115895,8,may
118847,8,may
119094,8,may
124167,8,may
124174,8,may
128150,8,may
128203,8,may
130239,8,may
130540,8,may
132563,8,may
132880,8,may
133249,8,may
138459,8,may
138893,8,may
